end_station_id,month,end_station_name,end_lat,end_lng,ride_count
3135.04,9,Chester Ave & 12 Ave,40.644367,-73.984276,400
3135.04,10,Chester Ave & 12 Ave,40.644367,-73.984276,200
3135.04,11,Chester Ave & 12 Ave,40.644367,-73.984276,100
3135.04,12,Chester Ave & 12 Ave,40.644367,-73.984276,300
3138.09,2,58 St & 2 Ave,40.644512,-74.021506,200
3138.09,4,58 St & 2 Ave,40.644512,-74.021506,300
3138.09,5,58 St & 2 Ave,40.644512,-74.021506,100
3138.09,7,58 St & 2 Ave,40.644512,-74.021506,400
3138.09,8,58 St & 2 Ave,40.644512,-74.021506,300
3138.09,9,58 St & 2 Ave,40.644512,-74.021506,400
3138.09,10,58 St & 2 Ave,40.644512,-74.021506,300
3138.09,11,58 St & 2 Ave,40.644512,-74.021506,300
3138.09,12,58 St & 2 Ave,40.644512,-74.021506,100
3140.09,7,Bedford Ave & Beverley Rd,40.64491,-73.95487,100
3140.09,8,Bedford Ave & Beverley Rd,40.64491,-73.95487,400
3140.09,9,Bedford Ave & Beverley Rd,40.64491,-73.95487,500
3140.09,10,Bedford Ave & Beverley Rd,40.64491,-73.95487,200
3140.09,11,Bedford Ave & Beverley Rd,40.64491,-73.95487,400
3148.08,8,E 17 St & Beverley Rd,40.64466,-73.96322,800
3148.08,9,E 17 St & Beverley Rd,40.64466,-73.96322,700
3148.08,10,E 17 St & Beverley Rd,40.64466,-73.96322,500
3148.08,11,E 17 St & Beverley Rd,40.64466,-73.96322,200
3148.08,12,E 17 St & Beverley Rd,40.64466,-73.96322,100
3148.09,9,E 19 St & Beverley Rd,40.64483,-73.9613,200
3148.09,10,E 19 St & Beverley Rd,40.64483,-73.9613,300
3148.09,11,E 19 St & Beverley Rd,40.64483,-73.9613,200
3148.09,12,E 19 St & Beverley Rd,40.64483,-73.9613,200
3155.01,8,Schenectady Ave & Cortelyou Rd,40.64535,-73.93268,200
3155.01,10,Schenectady Ave & Cortelyou Rd,40.64535,-73.93268,100
3155.01,11,Schenectady Ave & Cortelyou Rd,40.64535,-73.93268,300
3157.08,7,Turner Pl & Coney Island Ave,40.64521,-73.97073,100
3157.08,8,Turner Pl & Coney Island Ave,40.64521,-73.97073,400
3157.08,9,Turner Pl & Coney Island Ave,40.64521,-73.97073,100
3157.08,10,Turner Pl & Coney Island Ave,40.64521,-73.97073,500
3157.08,11,Turner Pl & Coney Island Ave,40.64521,-73.97073,700
3157.08,12,Turner Pl & Coney Island Ave,40.64521,-73.97073,500
3161.02,2,46 St & 6 Ave,40.645921,-74.005708,100
3161.02,3,46 St & 6 Ave,40.645921,-74.005708,300
3161.02,4,46 St & 6 Ave,40.645921,-74.005708,200
3161.02,5,46 St & 6 Ave,40.645921,-74.005708,300
3161.02,6,46 St & 6 Ave,40.645921,-74.005708,500
3161.02,7,46 St & 6 Ave,40.645921,-74.005708,300
3161.02,8,46 St & 6 Ave,40.645921,-74.005708,400
3161.02,10,46 St & 6 Ave,40.645921,-74.005708,200
3161.02,11,46 St & 6 Ave,40.645921,-74.005708,300
3161.02,12,46 St & 6 Ave,40.645921,-74.005708,200
3164.04,12,Brooklyn Ave & Beverley Rd,40.64575,-73.94331,100
3166.03,1,Albemarle Rd & McDonald Ave,40.645074,-73.979681,200
3166.03,3,Albemarle Rd & McDonald Ave,40.645074,-73.979681,200
3166.03,4,Albemarle Rd & McDonald Ave,40.645074,-73.979681,100
3166.03,5,Albemarle Rd & McDonald Ave,40.645074,-73.979681,300
3166.03,6,Albemarle Rd & McDonald Ave,40.645074,-73.979681,600
3166.03,7,Albemarle Rd & McDonald Ave,40.645074,-73.979681,700
3166.03,8,Albemarle Rd & McDonald Ave,40.645074,-73.979681,700
3166.03,9,Albemarle Rd & McDonald Ave,40.645074,-73.979681,800
3166.03,10,Albemarle Rd & McDonald Ave,40.645074,-73.979681,600
3166.03,11,Albemarle Rd & McDonald Ave,40.645074,-73.979681,500
3166.03,12,Albemarle Rd & McDonald Ave,40.645074,-73.979681,500
3169.07,1,53 St & 4 Ave,40.644862,-74.014531,400
3169.07,2,53 St & 4 Ave,40.644862,-74.014531,200
3169.07,3,53 St & 4 Ave,40.644862,-74.014531,700
3169.07,4,53 St & 4 Ave,40.644862,-74.014531,400
3169.07,5,53 St & 4 Ave,40.644862,-74.014531,700
